CATEGORY,10202
ACCOUNT,EGP1020100010001
ACCOUNT,EGP1020200010001
ATM.TERMINAL.ACCT,MIDB-ATM0101
ATM.TERMINAL.ACCT,MIDB-ATM0102
ATM.TERMINAL.ACCT,MIDB-ATM0103
ATM.TERMINAL.ACCT,MIDB-ATM0104
ATM.TERMINAL.ACCT,MIDB-ATM0105
ATM.TERMINAL.ACCT,MIDB-ATM0107
ATM.TERMINAL.ACCT,MIDB-ATM0108
ATM.TERMINAL.ACCT,MIDB-ATM0109
ATM.TERMINAL.ACCT,MIDB-ATM0110
ATM.TERMINAL.ACCT,MIDB-ATM0111
ATM.TERMINAL.ACCT,MIDB-ATM0112
ATM.TERMINAL.ACCT,MIDB-ATM0113
ATM.TERMINAL.ACCT,MIDB-ATM0114
ATM.TERMINAL.ACCT,MIDB-ATM0115
ATM.TERMINAL.ACCT,MIDB-ATM0116
ATM.TERMINAL.ACCT,MIDB-ATM0117
ATM.TERMINAL.ACCT,MIDB-ATM0201
ATM.TERMINAL.ACCT,MIDB-ATM0202
ATM.TERMINAL.ACCT,MIDB-ATM0203
ATM.TERMINAL.ACCT,MIDB-ATM0301
ATM.TERMINAL.ACCT,MIDB-ATM0401
ATM.TERMINAL.ACCT,MIDB-ATM0501
ATM.TERMINAL.ACCT,MIDB-ATM0601
ATM.TERMINAL.ACCT,MIDB-ATM0701
ATM.TERMINAL.ACCT,MIDB-ATM0801
ATM.TERMINAL.ACCT,MIDB-ATM0901
ATM.TERMINAL.ACCT,MIDB-ATM1001
ATM.TERMINAL.ACCT,MIDB-ATM1101
ATM.TERMINAL.ACCT,MIDB-ATM1201
ATM.TERMINAL.ACCT,MIDB-ATM1301
ATM.TERMINAL.ACCT,MIDB-ATM1401
ATM.TERMINAL.ACCT,MIDB-ATM1501
ATM.TERMINAL.ACCT,MIDB-ATM1701
ATM.TERMINAL.ACCT,MIDB-ATM1801
ATM.TERMINAL.ACCT,MIDB-ATM1901
OFS.SOURCE,ATM.OFSS
ATM.PARAMETER,SYSTEM
ATM.PROCESSING.CODE,ISO.94
ATM.PROCESSING.CODE,ISO.80
ATM.PROCESSING.CODE,ISO.31
LOCAL.REF.TABLE,AC.INWARD.ENTRY
LOCAL.TABLE,L.POS.ENT.MODE
LOCAL.TABLE,L.TXN.AMOUNT
LOCAL.TABLE,L.TXN.CURRENCY
LOCAL.TABLE,L.CARD.ACC.TERM.ID
LOCAL.TABLE,L.CARD.ACC.NAME.LOC
LOCAL.TABLE,L.ACQ.INST.CTRY
LOCAL.TABLE,L.ORIGINAL.AMT
STMT.NARR.FORMAT,ATM.NARR
STMT.NARR.PARAM,ATM.NARR
TRANSACTION,145
TRANSACTION,141
TRANSACTION,140
AC.ENTRY.PARAM,ATM-BS.SNP
AC.ENTRY.PARAM,ATM-CD.SNP
AC.ENTRY.PARAM,ATM-CW.SNP
AC.ENTRY.PARAM,ATMFRM.SNP
INTRF.MAPPING,CSM0200310000
INTRF.MAPPING,CSM0210310000
INTRF.MAPPING,CSM0200311000
INTRF.MAPPING,CSM0210311000
INTRF.MAPPING,CSM0200010000
INTRF.MAPPING,CSM0210010000
INTRF.MAPPING,CSM0200210000
INTRF.MAPPING,CSM0210210000
INTRF.MAPPING,CSM0200940000
INTRF.MAPPING,CSM0210940000
INTRF.MAPPING,CSM0200942000
INTRF.MAPPING,CSM0210942000
INTRF.MAPPING,CSM0200800000
INTRF.MAPPING,CSM0210800000
INTRF.MAPPING,CSM0200000000
INTRF.MAPPING,CSM0210000000
INTRF.MAPPING,CSM0200400000
INTRF.MAPPING,CSM0210400000
INTRF.MAPPING,CSM0420000000
INTRF.MAPPING,CSM0430000000
